Date,RoomAvailable,DeskAvailable,RoomDeskAdjusted,RoomSmoothed,RoomExtraSmoothed,Forecast,Type,CombinedLine,CombinedSmoothedLine
2025-01-25,,,,,,4932.78515625,Forecast,4932.78515625,4932.783761160715
2025-01-26,,,,,,4932.794782366072,Forecast,4932.794782366072,4932.793566645408
2025-01-27,,,,,,4932.803850446428,Forecast,4932.803850446428,4932.802744339924
2025-01-28,,,,,,4932.812430245535,Forecast,4932.812430245535,4932.811314174107
2025-01-29,,,,,,4932.820382254465,Forecast,4932.820382254465,4932.8193160076535
2025-01-30,,,,,,4932.827845982143,Forecast,4932.827845982143,4932.826789700254
2025-01-31,,,,,,4932.834751674107,Forecast,4932.834751674107,4932.833745216836
2025-02-01,,,,,,4932.841169084822,Forecast,4932.841169084822,4932.840192522322
2025-02-02,,,,,,4932.847098214285,Forecast,4932.847098214285,4932.846181441326
2025-02-03,,,,,,4932.8525390625,Forecast,4932.8525390625,4932.851721938775
2025-02-04,,,,,,4932.857561383928,Forecast,4932.857561383928,4932.856843909439
2025-02-05,,,,,,4932.8623046875,Forecast,4932.8623046875,4932.861577248086
2025-02-06,,,,,,4932.866629464285,Forecast,4932.866629464285,4932.865971779336
2025-02-07,,,,,,4932.87060546875,Forecast,4932.87060546875,4932.870047433035
2025-02-08,,,,,,4932.874302455357,Forecast,4932.874302455357,4932.873844068878
2025-02-09,,,,,,4932.877859933035,Forecast,4932.877859933035,4932.877361686863
2025-02-10,,,,,,4932.881068638393,Forecast,4932.881068638393,4932.88063018176
2025-02-11,,,,,,4932.884137834822,Forecast,4932.884137834822,4932.883679448342
2025-02-12,,,,,,4932.886928013393,Forecast,4932.886928013393,4932.886529416454
2025-02-13,,,,,,4932.889508928572,Forecast,4932.889508928572,4932.88916015625
2025-02-14,,,,,,4932.891950334822,Forecast,4932.891950334822,4932.891611527424
2025-02-15,,,,,,4932.894252232143,Forecast,4932.894252232143,4932.893873565051
2025-02-16,,,,,,4932.896275111607,Forecast,4932.896275111607,4932.8959761639035
2025-02-17,,,,,,4932.898228236607,Forecast,4932.898228236607,4932.8979292889035
2025-02-18,,,,,,4932.899972098215,Forecast,4932.899972098215,4932.899732940051
2025-02-19,,,,,,4932.901646205357,Forecast,4932.901646205357,4932.901397082271
2025-02-20,,,,,,4932.903180803572,Forecast,4932.903180803572,4932.902951610332
2025-02-21,,,,,,4932.904575892857,Forecast,4932.904575892857,4932.904386559311
2025-02-22,,,,,,4932.905901227678,Forecast,4932.905901227678,4932.905721859055
2025-02-23,,,,,,4932.907156808035,Forecast,4932.907156808035,4932.9069575095655
2025-02-24,,,,,,4932.908272879465,Forecast,4932.908272879465,4932.90797393176
2025-02-25,,,,,,4932.909319196428,Forecast,4932.909319196428,4932.908791055485
2025-02-26,,,,,,4932.910295758928,Forecast,4932.910295758928,4932.909418845664
2025-02-27,,,,,,4932.910295758928,Forecast,4932.910295758928,4932.909418845664
2025-02-28,,,,,,4932.910295758928,Forecast,4932.910295758928,4932.909418845664
2025-03-01,,,,,,4932.910295758928,Forecast,4932.910295758928,4932.909418845664
